# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
4.715e+12,2.416,0.258,0.116,5,2013-01-21T01:55:20.31
1.816e+13,2.806,0.000,0.000,1,2013-01-21T02:31:27.12
1.941e+13,2.825,0.230,0.054,18,2013-01-21T03:38:55.68
1.932e+12,2.157,0.128,0.074,3,2013-01-21T06:33:57.52
2.405e+13,2.887,0.000,0.000,1,2013-01-21T06:35:18.70
2.632e+13,2.914,0.104,0.060,3,2013-01-21T08:43:20.49
4.837e+12,2.423,0.215,0.096,5,2013-01-21T11:07:20.45
3.801e+12,2.353,0.000,0.000,1,2013-01-21T21:36:33.32
7.557e+11,1.886,0.075,0.053,2,2013-01-22T05:18:54.70
9.193e+11,1.942,0.320,0.226,2,2013-01-23T04:30:39.29
4.652e+12,2.412,0.000,0.000,1,2013-01-23T04:35:25.42
1.039e+13,2.644,0.185,0.062,9,2013-01-23T05:40:15.01
4.335e+12,2.391,0.104,0.052,4,2013-01-23T05:53:43.52
1.147e+12,2.006,0.185,0.107,3,2013-01-23T19:20:07.67
1.137e+13,2.671,0.000,0.000,1,2013-01-23T19:25:59.27
1.442e+15,4.073,0.124,0.019,41,2013-01-24T04:46:39.57
7.551e+11,1.885,0.049,0.035,2,2013-01-25T06:21:19.34
2.004e+12,2.168,0.000,0.000,1,2013-01-25T06:53:23.37
2.337e+12,2.212,0.065,0.037,3,2013-01-25T13:56:28.98
2.990e+12,2.284,0.227,0.093,6,2013-01-25T13:57:59.38
2.888e+12,2.274,0.000,0.000,1,2013-01-25T14:02:47.08
1.766e+13,2.798,0.196,0.054,13,2013-01-25T15:44:37.25
8.181e+14,3.909,0.000,0.000,1,2013-01-26T12:15:56.41
1.310e+13,2.712,0.750,0.530,2,2013-01-29T03:45:55.94
2.009e+12,2.169,0.000,0.000,1,2013-01-29T03:53:48.49
1.770e+12,2.132,0.098,0.069,2,2013-01-29T19:56:50.49
2.795e+12,2.264,0.248,0.111,5,2013-01-31T01:33:44.22
3.486e+14,3.662,0.000,0.000,1,2013-02-01T00:07:22.90
2.509e+13,2.900,0.251,0.061,17,2013-02-01T06:15:37.43
9.565e+12,2.620,0.307,0.077,16,2013-02-01T09:18:24.85
2.883e+11,1.607,0.114,0.066,3,2013-02-05T12:34:57.81
2.288e+12,2.206,0.267,0.119,5,2013-02-06T00:17:19.20
1.545e+12,2.093,0.000,0.000,1,2013-02-06T04:34:43.41
4.783e+13,3.087,0.304,0.068,20,2013-02-06T18:47:01.45
3.178e+13,2.968,0.176,0.102,3,2013-02-06T22:24:29.56
2.490e+12,2.231,0.079,0.056,2,2013-02-07T19:29:03.76
1.035e+14,3.310,0.289,0.062,22,2013-02-07T19:29:55.58
3.413e+14,3.655,0.204,0.042,24,2013-02-07T20:02:21.87
2.070e+13,2.844,0.188,0.084,5,2013-02-07T20:07:15.91
