# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
7.288e+12,2.542,0.000,0.000,1,2013-04-29T13:27:27.64
3.131e+12,2.297,0.204,0.102,4,2013-04-29T13:43:09.76
1.186e+13,2.683,0.225,0.068,11,2013-04-29T15:21:23.58
2.358e+12,2.215,0.225,0.113,4,2013-04-29T16:48:58.54
5.278e+12,2.448,0.028,0.020,2,2013-04-29T17:59:47.32
1.986e+12,2.165,0.220,0.155,2,2013-04-29T18:00:42.12
1.450e+12,2.074,0.190,0.134,2,2013-04-29T20:22:10.18
2.854e+12,2.270,0.159,0.113,2,2013-04-29T21:54:09.90
3.280e+12,2.311,0.134,0.094,2,2013-04-29T23:03:20.98
2.045e+12,2.174,0.133,0.077,3,2013-04-29T23:22:26.68
5.241e+12,2.446,0.000,0.000,1,2013-04-29T23:29:15.04
2.547e+12,2.237,0.129,0.075,3,2013-04-30T01:14:38.23
1.804e+12,2.138,0.119,0.069,3,2013-04-30T01:55:49.18
1.014e+12,1.971,0.181,0.091,4,2013-04-30T03:51:39.89
1.186e+12,2.016,0.129,0.091,2,2013-04-30T05:25:05.07
1.315e+12,2.046,0.063,0.044,2,2013-04-30T14:07:39.28
2.893e+12,2.274,0.142,0.100,2,2013-04-30T17:33:26.60
3.174e+12,2.301,0.000,0.000,1,2013-04-30T18:55:21.05
2.529e+12,2.235,0.090,0.052,3,2013-04-30T19:11:54.28
1.234e+13,2.694,0.000,0.000,1,2013-04-30T21:46:43.07
3.922e+12,2.362,0.002,0.002,2,2013-04-30T22:50:06.61
2.916e+12,2.277,0.075,0.053,2,2013-05-01T01:29:12.86
1.899e+12,2.152,0.225,0.130,3,2013-05-01T04:59:55.53
1.395e+12,2.063,0.163,0.082,4,2013-05-01T07:55:44.78
4.687e+12,2.414,0.161,0.114,2,2013-05-01T08:54:07.52
2.186e+12,2.193,0.122,0.086,2,2013-05-01T15:43:49.92
2.187e+12,2.193,0.127,0.074,3,2013-05-01T18:37:49.11
3.350e+12,2.317,0.000,0.000,1,2013-05-01T19:56:33.45
9.770e+12,2.627,0.000,0.000,1,2013-05-01T20:49:27.44
1.458e+12,2.076,0.199,0.141,2,2013-05-01T21:00:58.09
2.725e+12,2.257,0.075,0.053,2,2013-05-01T21:30:28.91
1.338e+12,2.051,0.000,0.000,1,2013-05-01T21:35:42.06
2.201e+12,2.195,0.236,0.167,2,2013-05-01T21:36:57.97
7.007e+12,2.530,0.139,0.099,2,2013-05-01T22:22:59.52
2.959e+12,2.281,0.000,0.000,1,2013-05-01T23:58:46.05
2.200e+12,2.195,0.206,0.146,2,2013-05-02T01:04:24.60
2.461e+12,2.227,0.000,0.000,1,2013-05-02T02:54:15.55
1.184e+13,2.682,0.000,0.000,1,2013-05-02T03:11:23.45
7.787e+11,1.894,0.212,0.123,3,2013-05-02T04:29:19.49
1.566e+12,2.097,0.145,0.103,2,2013-05-02T05:11:57.24
2.465e+12,2.228,0.120,0.060,4,2013-05-02T05:33:30.44
2.420e+13,2.889,0.114,0.081,2,2013-05-02T06:07:24.27
1.762e+12,2.131,0.153,0.108,2,2013-05-02T14:05:44.12
2.275e+12,2.205,0.147,0.104,2,2013-05-02T15:19:24.09
2.509e+12,2.233,0.000,0.000,1,2013-05-02T17:23:07.38
2.276e+12,2.205,0.000,0.000,1,2013-05-02T18:51:01.66
8.585e+12,2.589,0.000,0.000,1,2013-05-02T20:17:44.00
2.389e+12,2.219,0.024,0.014,3,2013-05-03T01:13:43.77
1.866e+12,2.147,0.149,0.105,2,2013-05-03T02:31:21.07
4.405e+12,2.396,0.219,0.109,4,2013-05-03T03:58:18.92
5.521e+12,2.461,0.146,0.065,5,2013-05-03T06:51:40.15
4.792e+12,2.420,0.376,0.217,3,2013-05-03T07:07:51.21
6.497e+12,2.509,0.000,0.000,1,2013-05-03T09:24:06.14
3.181e+12,2.302,0.197,0.139,2,2013-05-03T13:25:52.49
3.971e+11,1.699,0.190,0.095,4,2013-05-05T03:39:54.95
3.438e+12,2.324,0.179,0.127,2,2013-05-05T08:34:17.16
5.219e+11,1.778,0.036,0.026,2,2013-05-06T01:29:42.27
3.715e+12,2.347,0.127,0.073,3,2013-05-06T18:50:47.92
2.756e+11,1.594,0.253,0.127,4,2013-05-07T06:24:56.30
3.334e+12,2.315,0.109,0.063,3,2013-05-07T15:55:15.55
6.937e+12,2.527,0.127,0.073,3,2013-05-07T20:37:00.34
5.073e+12,2.437,0.180,0.081,5,2013-05-07T20:52:01.23
1.004e+11,1.301,0.000,0.000,1,2013-05-07T21:12:38.73
4.987e+12,2.432,0.207,0.078,7,2013-05-08T01:29:30.56
3.370e+11,1.652,0.251,0.145,3,2013-05-08T09:38:22.82
3.229e+12,2.306,0.052,0.030,3,2013-05-08T13:11:55.10
8.002e+11,1.902,0.075,0.043,3,2013-05-08T13:22:49.59
5.801e+11,1.809,0.202,0.117,3,2013-05-08T23:49:55.48
1.490e+12,2.082,0.213,0.123,3,2013-05-08T23:49:56.00
2.025e+12,2.171,0.156,0.078,4,2013-05-09T03:04:44.44
8.421e+11,1.917,0.265,0.133,4,2013-05-09T05:12:45.03
1.917e+12,2.155,0.121,0.070,3,2013-05-09T08:07:16.15
1.754e+12,2.129,0.167,0.096,3,2013-05-09T09:34:59.85
1.131e+12,2.002,0.163,0.116,2,2013-05-09T10:45:55.49
6.900e+12,2.526,0.119,0.069,3,2013-05-09T16:58:43.36
5.070e+11,1.770,0.255,0.127,4,2013-05-09T17:47:31.65
5.850e+12,2.478,0.157,0.079,4,2013-05-09T20:22:01.57
2.182e+12,2.193,0.119,0.060,4,2013-05-09T20:49:27.91
1.720e+12,2.124,0.106,0.048,5,2013-05-09T21:40:10.55
2.811e+12,2.266,0.161,0.114,2,2013-05-09T22:44:52.33
2.984e+12,2.283,0.172,0.086,4,2013-05-10T00:44:58.66
4.068e+12,2.373,0.168,0.084,4,2013-05-10T06:14:06.47
2.845e+12,2.269,0.158,0.071,5,2013-05-10T06:46:40.49
1.891e+12,2.151,0.164,0.095,3,2013-05-11T05:54:49.38
9.089e+11,1.939,0.275,0.137,4,2013-05-13T00:27:16.97
1.711e+12,2.122,0.140,0.070,4,2013-05-13T02:49:00.90
3.573e+12,2.335,0.192,0.111,3,2013-05-13T18:15:16.98
7.687e+11,1.891,0.173,0.071,6,2013-05-13T20:43:29.26
4.400e+12,2.396,0.213,0.123,3,2013-05-14T00:02:04.38
3.368e+12,2.318,0.152,0.088,3,2013-05-14T01:56:40.61
3.968e+12,2.366,0.234,0.105,5,2013-05-14T02:33:31.75
4.725e+11,1.750,0.085,0.038,5,2013-05-14T09:40:48.48
4.684e+12,2.414,0.184,0.092,4,2013-05-15T03:12:06.82
6.963e+12,2.529,0.177,0.079,5,2013-05-15T06:22:25.12
